DATE READ,FILE,WRITTEN LABEL,PUNCHED LABEL,DESCRIPTION,SOURCE
26/10/2013,EDSAC_F9,F9 verification 21 June 1990,,,DGNH
26/10/2013,EDSAC_D7,D7,,,DGNH
26/10/2013,EDSAC_PG51C,"P51 (has section of tape marked ""skip""",,Algol program,DGNH
26/10/2013,EDSAC_R5,R5 tested  ok 22 Oct 89 (incomplete tape),,,DGNH
26/10/2013,EDSAC_P7,P7,,,DGNH
26/10/2013,EDSAC_E3NEW,New E3 1 Nov 89 remember the GK E3.2 both end in 3,,,DGNH
26/10/2013,EDSAC_Q3,Q3 16 Sept 92,,,DGNH
26/10/2013,EDSAC_G1REL2,G1 30 July 88 release 2!,,,DGNH
26/10/2013,EDSAC_C7EX,Example of use of C7 on G1 release 2 6 Aug 88,,,DGNH
26/10/2013,EDSAC_C7,C7,,,DGNH
26/10/2013,EDSAC_AIRY2,AIRY program in EDSAC code 21 Sept 1991  7 figures output,,,DGNH
26/10/2013,EDSAC_Q2,Q2,,,DGNH
26/10/2013,EDSAC_D6,D6,,,DGNH
26/10/2013,EDSAC_P1,P1,,,DGNH
26/10/2013,EDSAC_D11,D11,,,DGNH
26/10/2013,EDSAC_C10,C10,,,DGNH
26/10/2013,EDSAC_Q5_3,Q5 3 8 May 1993,,,DGNH
26/10/2013,EDSAC_R9,R9,,,DGNH
26/10/2013,EDSAC_P31,P31 16 Sep 92,,,DGNH
26/10/2013,EDSAC_P11,P11,,,DGNH
26/10/2013,EDSAC_G1REL1,G1 release 1,,,DGNH
26/10/2013,EDSAC_R3,R3 ok,,,DGNH
26/10/2013,EDSAC_M1,M1,,,DGNH
26/10/2013,EDSAC_S2,S2 Not tested,,,DGNH
26/10/2013,EDSAC_P14,P14,,,DGNH
26/10/2013,EDSAC_R1,R1,,,DGNH
26/10/2013,EDSAC_T7,T7,,,DGNH
26/10/2013,EDSAC_PG51C, P51,,,DGNH
26/10/2013,EDSAC_WILKES,WILKES FUNCTION (Revised) Algol 22 Sept 1991,,,DGNH
07/10/2013,EDSAC_PG51D,P51 15 Jan 89,,Annotations R9 M1 Q2 P1 D6,DGNH
21/11/2013,CNTDWN,Countdown 4/11/13 Binary Mode 3,,Countdown numbers game solver,TJF
31/07/2014,FRACT_ARITH,MATHS LIBRARY FRACTIONAL ARITH 22 MAY 85,,,DGNH
31/07/2014,FRACT_MULTI,"Fractional Multiprecision Library
 Copied 11 May 85",,,DGNH
31/07/2014,INT_MULTI,"Integer Multi-precision library 
Algol Source text
 copied 12 Dec 82
 SQRT changed 27 OCT 84",,,DGNH
31/07/2014,MULTI_ALGOL,"13 December 1980
Algol source of multiprecision stuff (except POWER)",,,DGNH
31/07/2014,GAUSSRANSEED,"903 Algol Issue 6
GAUSS, RANDOM and SEED (Source)",,,DGNH
07/08/2014,ISQRT,ISQRT 28 April 88,,,DGNH
07/08/2014,MULTIPREC_RLB,MULTIPRECISION LIBRARY Backup Copy from Teletype 5 Feb 85,,,DGNH
07/08/2014,ALGOL25578,ALGOL 2 5/5/78,,,DGNH
07/08/2014,ISS6BIN,ISS 6 BIN 18 APR 1975 assembly,,Looks like an Algol interpreter,DGNH
07/08/2014,SINE,SINE,,,DGNH
07/08/2014,DATAN2SIR,DATAN2-SIR-22/12/75 06 JAN 1976,,,DGNH
07/08/2014,ALGISS5PAT,ALG. SYS. ISS. 5 SOURCE PATCHES 12 NOV 85,,,DGNH
07/08/2014,903SIRRLBREADER,903 SIR RLB READER 5,,,DGNH
07/08/2014,QAE or QAE2?,QAE FOR ALGE E2M E2R,,,DGNH
07/08/2014,QAESIR,E2M E2R QAE SIR SOURCE 7 march 87 89 Surely for BRILL HART,,,DGNH
29/09/2014,ISS5_BINARY,ISS 5 BINARY 16 APR 1075 18 APR 1975,,Looks like an Algol interpreter,DGNH
29/09/2014,MULTMOD2,MULTIPLY  & MOD2 SIR SOURCE 25 MAR 1981,,,DGNH
29/09/2014,RLBLIBEXTN,903 Algol RLB Library Extension 8 Dec. 1979 DGNH,,,DGNH
15/10/2014,QX51,QX.51,,,DGNH
15/10/2014,NEWSTDF5,"New Standard F5 [SOURCE] +M3 etc but (1) ???? LEV1 (2)  ""7"" is different",,,DGNH
15/10/2014,CHEAPLN,Cheap LN function 4 April 83,,,DGNH
15/10/2014,HISTORE,Test for accessibility of store locations 8177-8191 in level 4 8 Aug 84 SIR,,,DGNH
15/10/2014,PTTEST,Paper tape test program 24 July 82,,,DGNH
15/10/2014,INTTEST,test interrupts 25 Oct 84 SA=128 INT = 3 => Punches +3 INT =2 => Punches +2 INT = 1 Punches +1,,,DGNH
15/10/2014,STORETEST,SA 10 Store test Copies M0-M1 100--8170 inc then compares when stopped (Acc) = wrong address 10 Apr 88,,,DGNH
15/10/2014,MOD1STORETEST,Module 1 SA 32 8192-16383 store test 21 July 81,,,DGNH
15/10/2014,STORETEST_SIR,Store test Assemble with SIR start at 10 Stops with bad address in  AC,,,DGNH
06/04/2015,UANTHOLOGY,C H Moller 18/12/77 U Anthology (excl U.6),Each labelled U.1 etc,,DGNH
18/04/2015,UANTHOLOGYSRCE,U Series Anthology Source Code U1-U8,,,DGNH
25/03/2017,900BASIC,900 BASIC [9104/AA/8177] 12/6/78,,Patched version of TJFBASIC for Aldenham 920A,DGNH
12/04/2017,EDIT8P,EDIT 8P CHM,EDIT 8P CHM,,DGNH
12/04/2017,EDIT8PSRC2,EDITOR 8P SOURCE TAPE 2 LOAD AT 9,EDITOR 8P SOURCE TAPE 2,,DGNH
12/04/2017,EDIT8PINS,EDITOR INSTRUCTIONS 8P LOAD AT 34,EDITOR INSTRUCTIONS FOR 8P,,DGNH
12/04/2017,EDIT8PSRC1,EDIT 8P TAPE 1,EDIT8P TAPE 1,,DGNH
13/04/2017,EDIT9C4SRC1,EDIT 9C4 TAPE 1 4/11/78,EDIT 9C4 TAPE 1,,DGNH
13/04/2017,EDIT9C4SRC2,EDIT 9C4 TAPE 2 4/11/78,EDIT 9C4 TAPE 2,,DGNH
13/04/2017,EDITINS2,Editor Instructions,,,DGNH
29/04/2017,EDIT9CINS,Edit 9C Instructions,EDIT 9C INSTRUCTIONS (LOAD AT 34),,DGNH
03/05/2017,ALGTRANSP1(803),TRANSLATOR PART 1 MASTER COPY without patches,,NB 5 hole tape,DGNH
03/05/2017,ALGTRANSP2(803),TRANSLATOR PART 2 MASTER COPY,,NB 5 hole tape,DGNH
03/05/2017,COPYTAPESRC,CopyTape Source 11/2/1976,,,DGNH
03/05/2017,QX51,QX.51,,,DGNH
03/05/2017,XPTS1,START 903 XPTS 1 RLB ISSUE 1 COPY 14/8/68,903 XPTS1 RLB ISSUE 1,,DGNH
03/05/2017,NONSTANDRADF5,"20/11/78 NON STANDARD FR5 [SOURCE] +M3 BUT (1) works in LEV1 (2) ""7"" is different",,,DGNH
03/05/2017,EDSIMOPTS,EDSAC Simulator options 23 DEC 89,,"3 parts, labelled: Clear store; 2048 word store; diagnostic check",DGNH
03/05/2017,EXER12,EXER 12 11/3/1989,,,DGNH
03/05/2017,M3P5ETC,M3 P5 etc,,,DGNH
